,precision_yes,precision_no,precision_global,f1_yes,f1_no,f1_global
RandomForest_tf_idf,0.7820069204152249,0.7783505154639175,0.7801787179395712,0.8656240025534632,0.41770401106500693,0.6416640068092351
XGBoost_tf_idf,0.7722602739726028,0.7386363636363636,0.7554483188044832,0.8587749920660108,0.36879432624113473,0.6137846591535727
SVM_tf_idf,0.738312735088662,0.6268656716417911,0.6825892033652265,0.8429447852760736,0.14093959731543623,0.49194219129575495
RandomForest_word2vec,0.7956989247311828,0.5821325648414986,0.6889157447863407,0.8431635388739946,0.463302752293578,0.6532331455837863
XGBoost_word2vec,0.8046722907203114,0.5788113695090439,0.6917418301146776,0.8423913043478259,0.4912280701754386,0.6668096872616323
SVM_word2vec,0.7651331719128329,0.4963768115942029,0.6307549917535179,0.8274959083469722,0.34207240948813983,0.584784158917556
RandomForest_fast2vec_cluster,0.8151629072681704,0.6445783132530121,0.7298706102605912,0.8630182421227197,0.5089179548156956,0.6859680984692076
XGBoost_fast2vec_cluster,0.7954545454545454,0.65234375,0.7238991477272727,0.8605629246198641,0.43660130718954243,0.6485821159047033
SVM_fast2vec_cluster,0.7689075630252101,0.4732824427480916,0.6210950028866509,0.8304700162074553,0.32166018158236054,0.5760650988949079
RandomForest_fast2vec_mean,0.7533259423503326,0.7741935483870968,0.7637597453687146,0.8517706048260734,0.2887218045112782,0.5702462046686758
XGBoost_fast2vec_mean,0.7871316897173782,0.7056603773584905,0.7463960335379344,0.8583606557377049,0.46401985111662525,0.6611902534271651
SVM_fast2vec_mean,0.7512864493996569,0.5921787709497207,0.6717326101746888,0.8380102040816326,0.29444444444444445,0.5662273242630386
RandomForest_bert,0.7904761904761904,0.6895161290322581,0.7399961597542243,0.8609400324149109,0.44357976653696496,0.6522598994759379
XGBoost_bert,0.8148148148148148,0.643646408839779,0.7292306118272969,0.8589700437563109,0.5265536723163843,0.6927618580363476
SVM_bert,0.7571345369831101,0.5023696682464455,0.6297521026147778,0.8327994875080077,0.2888283378746594,0.5608139126913335
